misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,241,-11.544112046511628,1.4180155992507935,0.0005796678364276886,13.297211980819702
40,14760,243,-11.2057784,1.417268967628479,-0.009681519400328398,11.765721035003661
60,21960,242,-7.8506053499999995,1.4168012142181396,-0.0036292050033807756,2.883822187781334
80,29160,246,-7.41991655,1.4168310046195984,-0.0035778980702161787,5.148087424039841
100,36360,259,-8.59502577,1.4163273692131042,-0.002845413237810135,9.292155075073243
120,43560,269,-8.50276844,1.4165541648864746,-0.002736540511250496,4.705313682556152
140,50760,276,-7.6411267700000005,1.4155751824378968,-0.0031613916624337437,5.9804793238639835
160,57960,281,-7.8029261000000005,1.4147246122360229,-0.0008997350931167602,8.14560444355011
180,65160,286,-8.60847338,1.415127122402191,-0.00924725434742868,7.849920630455017
200,72360,290,-5.460774079999998,1.414422369003296,0.0004731282591819763,4.770372885465622
220,79560,293,-5.97700479,1.413615596294403,-0.010730125033296645,1.804816770553589
240,86760,296,-6.538974949999999,1.4122178077697753,-0.003343474306166172,2.0427248388528825
260,93960,299,-4.03651216,1.40988746881485,-0.0036849135532975195,4.757405987381935
280,101160,301,-4.868839909999999,1.4094857573509216,-0.003133184462785721,6.102385354042053
300,108360,303,-6.4005538,1.4090887308120728,-0.004815554106608033,2.649613504111767
320,115560,305,-7.810112640000001,1.4083595633506776,-0.0033972591161727907,10.805723810195923
340,122760,306,-8.741928620000001,1.4083374619483948,-0.013161508738994599,2.0592067539691925
360,129960,308,-7.666786329999999,1.40759197473526,-0.004349672794342041,0.4568063795566559
380,137160,309,-4.4889766700000004,1.4081915497779847,-0.010223606787621974,8.493557226657867
400,144360,310,-4.83528747,1.4070698738098144,-0.006932929903268814,8.186929786205292
420,151560,312,-4.82731895,1.4068233728408814,-0.0015150513499975204,5.6032716751098635
440,158760,313,-6.8254705,1.4057586312294006,-0.005768479965627194,10.86164116859436
460,165960,313,-4.38298612,1.4056799411773682,-0.009286877512931824,1.0460528254508972
480,173160,314,-3.364096850000001,1.4053140044212342,0.004981665313243866,8.553077268600465
500,180360,314,-3.5856913500000007,1.404003119468689,-0.005773349851369858,5.109996896982193
520,187560,315,-4.727246709999999,1.4034738302230836,-0.005003127921372652,11.786961632966996
540,194760,316,-3.28183507,1.4026604533195495,-0.0014839254319667817,14.123916387557983
560,201960,316,-7.17445826,1.4026934385299683,-0.0034486591583117844,12.336773565411567
580,209160,317,-3.3783713299999993,1.4021677851676941,-0.0038206636905670165,20.107465934753417
600,216360,318,-3.1303175800000003,1.4015094637870789,-0.006043368577957153,6.230495178699494
620,223560,318,-2.7472810599999997,1.4005516409873962,-0.007735150307416916,7.514180052280426
640,230760,319,-0.5623506300000001,1.399826955795288,-0.009426668286323547,4.0730968594551085
660,237960,320,1.9329252999999997,1.3996182203292846,-0.011583653092384339,4.35264538526535
680,245160,320,-0.7541265799999999,1.3994570136070252,-0.0025041431188583376,5.04299051463604
700,252360,320,-4.35941739,1.398575496673584,-0.0007734311744570732,3.8762461721897123
720,259560,320,-6.81485559,1.3985568046569825,-0.006778766959905624,11.029023087024688
740,266760,320,-5.254075770000001,1.398013997077942,-0.00685102641582489,5.68969441652298
760,273960,321,-2.13648476,1.397219729423523,-0.0013593817129731178,9.886128771305085
780,281160,321,-2.0217514599999995,1.3961450695991515,-0.00130152627825737,13.153557777404785
800,288360,321,-2.8678639500000007,1.3960178732872008,-0.002466998249292374,3.9439794540405275
820,295560,321,-1.17140237,1.3959100604057313,0.0006798025220632553,6.9104257106781
840,302760,321,-2.2379433100000004,1.3951966047286988,0.004170003905892372,9.671520233154297
860,309960,321,-1.7461004900000006,1.3944496512413025,-0.0038531674072146416,12.72121982574463
880,317160,321,0.22348619,1.3938530802726745,-0.004482298344373703,13.590025854110717
900,324360,321,-3.2268860100000007,1.3930088877677917,0.002591352816671133,5.510783791542053
920,331560,321,-2.5738777400000004,1.3925191640853882,-0.00030843354761600494,13.63171215057373
940,338760,321,-0.21973889000000033,1.3925216913223266,0.0001699848100543022,4.721324133872986
960,345960,322,-0.4278312000000004,1.3918869853019715,0.0011292044073343277,12.072744101285934
980,353160,322,-0.9117421200000002,1.39003324508667,-0.005584197491407395,20.638716840744017
1000,360360,322,-2.79120841,1.3895063042640685,-0.010669857263565063,2.6712080419063566
1020,367560,322,0.0418289799999998,1.3894561767578124,-0.004629052616655827,10.34277172088623
1040,374760,323,-5.12716012,1.3900383710861206,-0.002937072515487671,4.124148166179657
1060,381960,323,0.8405827799999998,1.3902920126914977,-0.0023798134177923204,12.32738815844059
1080,389160,323,1.4829076799999996,1.3900683879852296,-0.0047361418604850766,4.689293152093887
1100,396360,323,3.45983619,1.3889367938041688,-0.0026794679462909697,8.812116265296936
1120,403560,323,-0.7041340499999998,1.3887638568878173,-0.00409077163785696,8.409174287319184
1140,410760,323,2.5316210599999995,1.3893906950950623,-0.005257654748857021,6.85739963054657
1160,417960,324,-0.63908418,1.3899619698524475,0.0006551606114953756,12.661985635757446
1180,425160,324,2.9530734,1.389568817615509,-0.006324796378612519,5.80045462846756
1200,432360,324,2.4771776900000004,1.3892740607261658,-0.004872170463204384,3.5974698185920717
1220,439560,324,1.2181299800000005,1.3888947725296021,-0.0059617387712933125,5.001500940322876
1240,446760,324,-0.29366799999999965,1.3887526273727417,-0.001460077241063118,11.860300302505493
1260,453960,324,-2.887125870000001,1.3888979434967041,-4.329606890678406e-05,13.718981051445008
1280,461160,325,2.9213035400000003,1.3884780883789063,-0.002804357185959816,12.078402185440064
1300,468360,325,4.343266249999999,1.3874860763549806,-0.0009767606854438782,22.608010387420656
1320,475560,325,0.3912126000000004,1.3875046253204346,-0.010225174762308598,13.750331354141235
1340,482760,325,1.9499801299999995,1.388062310218811,-0.0031094560399651527,2.54846628010273
1360,489960,325,-1.0141748899999992,1.3864660024642945,-0.0023958873003721236,15.353422355651855
1380,497160,325,-1.6133120700000003,1.3861994862556457,0.0008546620607376099,11.957462596893311
1400,504360,325,-1.75516361,1.386851727962494,-0.004501742124557495,4.428141474723816
1420,511560,325,-3.482105469999999,1.3843752145767212,-0.004609280079603195,19.62232074737549
1440,518760,325,1.4122821800000003,1.3829744338989258,-0.0060917144932318475,5.179914569854736
1460,525960,325,-0.10541409999999997,1.3832689762115478,-0.009179008007049561,13.506846189498901
1480,533160,325,2.03821812,1.3827969074249267,-0.00875263437628746,12.84891744852066
1500,540360,325,1.97269379,1.3825955867767334,-0.002431109920144081,11.08467892408371
1520,547560,325,-1.5128752099999998,1.3828401446342469,-0.015404094755649567,5.435083889961243
1540,554760,325,-0.24775304999999986,1.382265532016754,0.0019952535629272463,16.76129620075226
1560,561960,325,1.9703269300000001,1.3819300770759582,0.006682010740041733,24.60302028656006
1580,569160,325,-3.96993726,1.381511640548706,-0.014595185732468962,21.005647659301758
1600,576360,326,-0.012521999999999487,1.3810512661933898,-0.002744518220424652,5.977004718780518
1620,583560,326,0.05791524000000039,1.3800890803337098,-0.001661325991153717,7.261958712339402
1640,590760,325,2.49840675,1.379719114303589,-0.005396009236574173,0.540661633014679
1660,597960,325,1.6958494000000004,1.37789146900177,-0.00679843295365572,5.968297871947288
1680,605160,326,5.42711215,1.3781675457954408,-0.0007533282041549683,15.121826219558717
1700,612360,326,4.14312285,1.3782065868377686,-0.0014907345990650355,18.64009964466095
1720,619560,325,3.623730840000001,1.3775082111358643,0.00315713956952095,5.448334765434265
1740,626760,326,5.85831142,1.3771752715110779,-0.0013008259236812591,5.2223962306976315
1760,633960,326,1.9611109699999998,1.3773866176605225,-0.0021781764924526216,9.303677469491959
1780,641160,326,6.49588235,1.3769720673561097,0.009365028119646013,12.979322861880064
1800,648360,326,3.7591903000000007,1.376095747947693,-0.003505944833159447,13.759994435310364
1820,655560,326,3.69453014,1.3752555131912232,-0.0021089136134833097,19.358268547058106
1840,662760,326,3.0390406399999996,1.3751287460327148,-0.0055699801538139585,12.67449493408203
1860,669960,326,4.701983780000001,1.3731556057929992,-0.0029537383466959,26.8427433013916
1880,677160,326,3.47150034,1.37357896566391,0.0007490562275052071,19.58027925491333
1900,684360,326,2.1577227399999996,1.3740644693374633,-0.015596266463398933,19.693465662002563
1920,691560,326,4.28816927,1.3738985300064086,0.002835233695805073,10.376214545965194
1940,698760,326,3.9267674100000005,1.373078715801239,-0.004480133950710297,2.647858253121376
1960,705960,326,-0.6892530599999996,1.3723944067955016,-0.00418190136551857,22.357361125946046
1980,713160,325,0.59455265,1.3715897798538208,-0.008382314594928175,5.086342167854309
2000,720360,325,8.51077292,1.371211051940918,-0.004650115076219663,18.24372354745865
2020,727560,325,4.31098529,1.3716828227043152,-0.00012995004653930663,1.8814980685710907
2040,734760,325,1.71659399,1.3737133622169495,-0.0053372934460639955,6.836029356718063
2060,741960,326,4.9310949200000005,1.3729328155517577,0.0007162726717069745,16.2942907333374
2080,749160,326,7.2522553499999995,1.3730717182159424,0.0020222606137394903,26.267209029197694
2100,756360,326,8.46472777,1.372417426109314,0.0026934612542390823,20.72703638076782
2120,763560,326,3.0793529099999994,1.3724084734916686,-0.004653646051883698,14.528232669830322
2140,770760,326,7.49285514,1.3720463395118714,-0.0018820105120539664,13.320509648323059
2160,777960,326,2.6692404599999997,1.3703779339790345,0.005150322197005152,28.30884895324707
2180,785160,326,5.166011,1.3699191331863403,0.006473008450120688,35.07971878051758
2200,792360,326,7.422883569999999,1.369905948638916,0.001987721212208271,10.22882695198059
2220,799560,326,5.430753219999998,1.3689626932144165,0.00019356608390808105,16.927642726898192
2240,806760,326,9.40388278,1.3696038484573365,-0.013131883461028337,19.712148720026015
2260,813960,326,7.561734119999999,1.3706034064292907,-0.0011736035346984863,14.612679243087769
2280,821160,326,5.8210647799999995,1.3697378396987916,-0.019303043000400068,18.6829496383667
2300,828360,326,5.00023774,1.3700886726379395,0.0028232019394636154,15.283373928070068
2320,835560,326,3.9131074200000007,1.3704262852668763,-0.0038789667189121245,16.04190742969513
2340,842760,326,2.6087277599999994,1.3692211151123046,0.0035294949077069758,19.117820167541502
2360,849960,326,1.31752511,1.3697402358055115,-0.003315657377243042,18.41249027252197
2380,857160,326,6.717780070000001,1.3695353269577026,-0.0021932221949100494,14.627776944637299
2400,864360,326,9.99243955,1.3696465015411377,-0.010221226792782544,47.66835613250733
2420,871560,326,5.37017921,1.3706479787826538,0.011919997073709965,16.43383014202118
2440,878760,326,3.0780591200000003,1.3719475746154786,0.019644610490649937,20.376804077625273
2460,885960,326,4.5541919900000005,1.3719538807868958,-0.0031481102108955384,19.89628658294678
2480,893160,326,4.514413950000001,1.3712760925292968,-0.010046045761555433,12.48867688179016
2500,900360,327,4.04977412,1.3707144618034364,-0.0009667534381151199,8.950062799453736
2520,907560,327,6.25972071,1.3700446963310242,-0.001788998395204544,15.291622996330261
2540,914760,327,7.0038221400000005,1.3696189045906066,-0.0025541067123413088,14.16050226688385
2560,921960,327,9.815877640000002,1.3685127377510071,-0.001379605382680893,4.577490943670273
2580,929160,327,6.92326123,1.3674231052398682,-0.009071725606918334,4.0009343266487125
2600,936360,327,4.30228673,1.366907775402069,-0.0006483700126409531,8.879612457752227
2620,943560,327,4.45773415,1.367385244369507,0.0007738355547189712,30.126175618171693
2640,950760,327,7.45717161,1.3671099305152894,-0.0025438960641622544,29.10203266143799
2660,957960,327,7.890578809999999,1.3663275241851807,0.008624811470508576,24.255326128005983
2680,965160,327,10.21599882,1.365823233127594,-0.003298844397068024,7.5878615319728855
2700,972360,327,5.414317679999999,1.3659241676330567,-0.008987674117088318,3.2149859428405763
2720,979560,327,6.626486259999999,1.3651959657669068,0.0026889868080616,23.69701647758484
2740,986760,327,6.77446799,1.3643269181251525,-0.004451249679550529,5.65544501543045
2760,993960,327,6.55808587,1.3636017441749573,-0.0018588565289974213,13.910649085044861
